"","X","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"109",109,"Utvisning","06:07",NA,"Enrico Gentili","Gimonäs Umeå IF","Period3","Hårt spel 2",2,"Gimonäs Umeå IF - Hörnefors IF","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
"110",110,"Utvisning","08:32",NA,"William Grönlund","Gimonäs Umeå IF","Period3","Slag",2,"Gimonäs Umeå IF - Hörnefors IF","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
"111",111,"Utvisning","17:20",NA,"Vincent Rosén","Gimonäs Umeå IF","Period3","Hög klubba",2,"Gimonäs Umeå IF - Hörnefors IF","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
"112",112,"Utvisning","19:29",NA,"Arvid Oscarsson","Hörnefors IF","Period3","Otillåten trängning",2,"Gimonäs Umeå IF - Hörnefors IF","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
"113",113,"Utvisning","19:55",NA,"Vincent Rosén","Gimonäs Umeå IF","Period3","Fasthållning",2,"Gimonäs Umeå IF - Hörnefors IF","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
"114",114,"Utvisning","04:44",NA,"Elliot Forsgren","Umeå City IBF","Period1","Spel utan klubba",2,"Umeå City IBF - IBF Dalen","Tony Cederholm","Manuel Garzon","Tony Cederholm, Manuel Garzon"
"115",115,"Utvisning","08:57",NA,"Elias Forsgren","Umeå City IBF","Period3","Slag",2,"Umeå City IBF - IBF Dalen","Tony Cederholm","Manuel Garzon","Tony Cederholm, Manuel Garzon"
"116",116,"Utvisning","11:00",NA,"Tim Lundin","Umeå City IBF","Period3","Protest mot domslut",2,"Umeå City IBF - IBF Dalen","Tony Cederholm","Manuel Garzon","Tony Cederholm, Manuel Garzon"
"117",117,"Utvisning","15:39",NA,"Adam Kryg","IBF Dalen","Period3","Lyftning av klubba",2,"Umeå City IBF - IBF Dalen","Tony Cederholm","Manuel Garzon","Tony Cederholm, Manuel Garzon"
"118",118,"Utvisning","19:46",NA,"Adam Kryg","IBF Dalen","Period3","Låsning av klubba",2,"Umeå City IBF - IBF Dalen","Tony Cederholm","Manuel Garzon","Tony Cederholm, Manuel Garzon"
"119",119,"Utvisning","11:16",NA,"Fredrik Martinsson","Robertsfors IK","Period2","Hands",2,"Rönnskär Railcare IF/CIF - Robertsfors IK","Mathias Bergsdorf","Gustav Broadhall","Mathias Bergsdorf, Gustav Broadhall"
"120",120,"Utvisning","07:24",NA,"Tichanon Thongloy","Rönnskär Railcare IF/CIF","Period3","Hands",2,"Rönnskär Railcare IF/CIF - Robertsfors IK","Mathias Bergsdorf","Gustav Broadhall","Mathias Bergsdorf, Gustav Broadhall"
"121",121,"Utvisning","02:51",NA,"Zebastian Lundberg","Örnsköldsvik IBF /IBK","Period1","Slag",2,"Vindelns IF - Örnsköldsvik IBF /IBK","Johnnie Lundmark","Fredrik Söderholm","Johnnie Lundmark, Fredrik Söderholm"
